Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,ID,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,
"'charlotte-tilbury'",,,,,,,,,,'Yes Honey',,,,,,,,,deny,manual,'27',,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,,,
"'charlotte-tilbury'",,,,,,,,,,'Coral Kiss',,,,,,,,,deny,manual,'27',,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,,,
"'charlotte-tilbury'",,,,,,,,,,'Nude Romance',,,,,,,,,deny,manual,'27',,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,,,
"'ysl'","'YSL'","'Achieve brilliant shine minus the sticky residue with YSL's Vernis À Lèvres Water Stain. Part of the Rouge Pur Couture collection, the lightweight formula glides onto lips to leave a thin stain with vivid pigment. Apply the one coat for a lighter look or layer upfora richercolour payoff.
'",Eslam Hosny M.,,"Rouge Pur Couture Vernis À Lèvres Water Stain Lip Gloss<Br />","Beauty, Make-Up, Lips, Lipsticks",TRUE,https://www.harrods.com/en-bd/shopping/ysl-rouge-pur-couture-vernis-a-levres-water-stain-lip-glossbr-15132097,Color,No Colour Available,Size,'OS',,,,,,,deny,manual,'16',,TRUE,TRUE,,https://image.harrods.com/15/13/20/97/15132097_25798658_2048.jpg,1,,FALSE,,,,,,,"Rouge Pur Couture Vernis À Lèvres Water Stain Lip Gloss<Br />",,,FALSE,,,,,,https://image.harrods.com/15/13/20/97/15132097_25798658_2048.jpg,g,,,active,
"'ysl'",,,,,,,,,,,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://image.harrods.com/15/13/20/97/15132097_25798659_2048.jpg,2,,,,,,,,,,,,,,,,,,,g,,,,
"'ysl'",,,,,,,,,,,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://image.harrods.com/15/13/20/97/15132097_25798661_2048.jpg,3,,,,,,,,,,,,,,,,,,,g,,,,
"'ysl'",,,,,,,,,,,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://image.harrods.com/15/13/20/97/15132097_25798664_2048.jpg,4,,,,,,,,,,,,,,,,,,,g,,,,
"'ysl'",,,,,,,,,,,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://image.harrods.com/15/13/20/97/15132097_25798667_2048.jpg,5,,,,,,,,,,,,,,,,,,,g,,,,
"'ysl'","'YSL'","'YSL’s Rouge Pur Couture The Slim Sheer Matte lipstick owes its ultra-modern, airbrushed finish to the brand’s superior blurring technology, designed to create a softening effect on the lips and deliver exceptional colour that lasts all day. Boasting a lightweight formula that feels comfortable and smooth, this sumptuous lipstick boasts an angular-shaped tip for precise, on-the-go application.
'",Eslam Hosny M.,,"Rouge Pur Couture The Slim Sheer Matte Lipstick","Beauty, Make-Up, Lips, Lipsticks",TRUE,https://www.harrods.com/en-bd/shopping/ysl-rouge-pur-couture-the-slim-sheer-matte-lipstick-15141652,Color,No Colour Available,Size,'OS',,,,,,,deny,manual,'16',,TRUE,TRUE,,https://image.harrods.com/15/14/16/52/15141652_26022630_2048.jpg,1,,FALSE,,,,,,,"Rouge Pur Couture The Slim Sheer Matte Lipstick",,,FALSE,,,,,,https://image.harrods.com/15/14/16/52/15141652_26022630_2048.jpg,g,,,active,
"'ysl'",,,,,,,,,,,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://image.harrods.com/15/14/16/52/15141652_26022635_2048.jpg,2,,,,,,,,,,,,,,,,,,,g,,,,
